date,airline,origin,destination,departure_time,distance,arrival_delay,weather_condition,wind_speed,visibility,month,day,weekday,delayed
2024-03-04,5,0,2,1136,1216,22,1,21.16032871036092,4.9895345204416,3,4,0,1
2024-01-24,0,4,5,2233,1044,-2,0,13.87915468649007,8.126126969313736,1,24,2,0
2024-06-18,1,1,8,2072,2371,26,0,12.783067478571008,8.662170464895071,6,18,1,1
2024-04-25,2,5,10,1480,503,4,0,12.056995724423734,8.774839032159328,4,25,3,0
2024-03-15,2,5,1,2212,1816,35,0,0.8560074927458844,8.013992027758254,3,15,4,1
2024-07-15,6,3,0,1538,460,15,0,10.282131564982206,9.64817480748236,7,15,0,0
2024-05-03,0,2,1,1295,1114,136,2,37.304538256293824,1.2312503117193463,5,3,4,1
2024-12-25,6,7,8,1078,584,98,2,29.612995236169148,0.9257232944883986,12,25,2,1
2024-08-06,4,8,9,1896,1514,31,1,19.7074618872168,4.884932798245159,8,6,1,1
2024-08-07,5,6,11,746,1718,4,0,8.553674723203622,8.131602093882655,8,7,2,0
2024-02-04,3,3,11,1664,2300,0,0,10.905259631669772,7.494384135231442,2,4,6,0
2024-07-11,6,3,4,1410,1923,14,1,16.191227979338024,4.232968730839464,7,11,3,0
2024-07-30,0,10,4,1453,2173,35,0,14.19366644706562,7.711878816725605,7,30,1,1
2024-12-05,0,7,6,1457,916,69,2,30.587946491433748,1.965015889178596,12,5,3,1
2024-05-31,0,7,5,1751,2388,123,2,45.41759403073581,1.6627400883350163,5,31,4,1
2024-11-03,1,4,9,579,1241,3,0,5.367299404468213,8.354321458265588,11,3,6,0
2024-02-29,3,6,0,1852,317,52,1,10.382183156897534,4.461557466320458,2,29,3,1
2024-06-26,0,0,1,1524,1010,64,2,33.78056783477818,1.1164908012891184,6,26,2,1
2024-03-06,5,3,0,665,2246,0,0,0.3734612224503592,8.670819549326076,3,6,2,0
2024-08-01,0,2,6,1571,2486,17,0,1.90019445417238,9.902470114891898,8,1,3,1
2024-10-08,5,3,11,1972,587,57,1,10.842001665101092,3.504798594049783,10,8,1,1
2024-07-29,1,5,9,947,334,121,2,43.67132990226146,0.7451186773141307,7,29,0,1
2024-05-30,0,9,5,965,2343,90,2,25.570560868649142,1.3986644393035843,5,30,3,1
2024-10-12,1,9,4,1459,486,2,0,4.392986159697542,9.296732119140664,10,12,5,0
2024-01-25,0,1,0,1540,420,18,0,12.388235193895676,7.077083793227671,1,25,3,1
2024-11-22,1,2,4,1376,1665,23,0,10.438715115680695,8.38646956874618,11,22,4,1
2024-11-19,4,11,3,866,1167,-2,0,0.9589133713382804,7.598558492445959,11,19,1,0
2024-09-26,2,0,6,2214,2427,77,2,33.35476524942473,1.1238242647275096,9,26,3,1
2024-04-18,3,1,11,1739,980,5,0,8.714940208181972,9.34107341664694,4,18,3,0
2024-09-12,1,9,8,1959,2488,60,1,11.600902375229776,2.596691541608755,9,12,3,1
2024-02-08,3,6,7,770,2133,80,2,33.56109535606413,1.1189944274010517,2,8,3,1
2024-02-29,0,9,6,650,1851,14,0,12.26863910482184,8.511435457969398,2,29,3,0
2024-01-09,1,0,6,1543,2206,1,0,6.678598922965175,9.632832846083252,1,9,1,0
2024-11-18,2,11,3,790,1242,39,1,17.014032264548543,3.192462632279557,11,18,0,1
2024-07-01,5,4,10,1108,2267,16,0,8.117364022705951,8.761413889506288,7,1,0,1
2024-03-01,1,8,3,1911,1603,66,1,20.270591677406784,2.879468964840647,3,1,4,1
2024-11-08,1,6,0,2251,336,45,1,15.25411459492616,2.980071636256923,11,8,4,1
2024-03-16,4,4,11,1764,1303,97,2,29.25586667724092,1.4378619361865346,3,16,5,1
2024-08-13,2,9,8,1360,516,34,1,23.729777756988067,4.028835132632084,8,13,1,1
2024-09-05,3,8,2,706,408,38,1,19.19650721066575,2.097121137081195,9,5,3,1
2024-05-16,4,0,4,1661,2497,37,1,14.176576127741733,4.379430290144351,5,16,3,1
2024-05-24,1,0,6,667,300,24,1,24.72063684390856,4.387774394761413,5,24,4,1
2024-11-21,5,3,8,2075,748,31,0,6.59852110662488,8.026238880000024,11,21,3,1
2024-04-24,4,7,8,1604,1294,-37,0,7.187719358843344,8.065674972330303,4,24,2,0
2024-04-19,1,0,4,890,2412,39,2,31.219919925736143,1.6757534086317525,4,19,4,1
2024-01-12,4,3,1,668,993,14,1,16.319130556710455,4.913237409523096,1,12,4,0
2024-07-19,1,1,4,1243,935,21,1,10.114082936729911,2.2994857848332395,7,19,4,1
2024-07-08,1,0,8,2081,817,-10,0,6.245159937116454,7.264224796366925,7,8,0,0
2024-08-13,1,8,3,2173,746,25,0,4.460821602861651,7.912765954357091,8,13,1,1
2024-05-17,6,11,0,858,2098,-4,1,19.833990146629237,4.546883607149119,5,17,4,0
2024-02-23,5,7,11,1794,1138,34,1,19.81017700599518,4.232511340296552,2,23,4,1
2024-06-02,4,4,0,1783,1567,30,0,6.5321865664738965,7.854308338977834,6,2,6,1
2024-11-19,1,9,7,1381,1582,5,0,4.860242222621541,8.885625687296244,11,19,1,0
2024-11-30,6,9,3,2119,1750,32,0,7.566202743682262,9.010566476234818,11,30,5,1
2024-12-23,1,10,6,1241,1068,14,0,6.943250897431775,8.361618850054525,12,23,0,0
2024-10-19,1,3,9,1037,2422,0,0,11.713837021516817,8.699447763167218,10,19,5,0
2024-11-15,2,6,8,1592,1181,33,1,12.902080546530208,2.387710328542039,11,15,4,1
2024-01-04,4,8,9,907,1003,34,1,22.036805199238323,4.689485533647853,1,4,3,1
2024-02-17,6,3,11,1422,1657,-4,0,0.1569012308277534,7.427179105147204,2,17,5,0
2024-12-24,2,5,10,2220,1001,50,0,13.20280544027302,7.395039016130943,12,24,1,1
